"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","0.1uF","","","","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~"
"C2","1","10uF","","","","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~"
"C3,C4","2","WCAP-ASLI_5X5.5","","","","WCAP-ASLI:WCAP-ASLI_5X5.5_DXL_",""
"CR1","1","B330B-13-F","","","","imported_footprints:CR_SMB_320-345BE_DIO","B330B-13-F"
"J1","1","B6B-XH-A_LF__SN_","","","","imported_footprints:JST_B6B-XH-A_LF__SN_",""
"L1","1","SRN6045-3R3Y","","","","IND_BOURNS_SRN6045","SRN6045-3R3Y"
"R3","1","100K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"RBott?,RTop?","2","10k","","","","","~"
"TP1,TP2","2","TestPoint_Alt","","","","","~"
"U1","1","ADP2303ARDZ","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ADP2302_2303.pdf"
